;name;satisfaction_level;last_evaluation;number_projects;average_monthly_hours;time_spent_company;work_accident;left;promotion_last_5_years;department;salary;salary_level
7489;GROTE;0.49;0.91;3;227;3;0;0;0;sales;medium;2
10062;NARDI;0.82;0.89;5;182;3;0;0;0;IT;low;1
13267;RAGO;0.15;0.91;5;230;3;0;0;0;support;medium;2
8467;KINDLE;0.98;0.8;4;142;2;0;0;0;IT;medium;2
8878;TRAUTMAN;0.66;0.77;5;236;3;0;0;0;sales;high;3
13334;STEVER;0.99;0.86;3;167;2;0;0;0;sales;low;1
14601;EBANKS;0.78;1.0;4;253;5;0;4;0;marketing;low;1
880;MCCARTY;0.38;0.88;3;154;4;0;0;0;technical;medium;2
3074;NEEDHAM;0.21;0.81;4;144;4;0;0;0;sales;medium;2
7248;SAITO;0.57;0.75;5;252;3;0;0;0;RandD;medium;2
11968;CZECH;0.8;0.8;4;146;3;1;0;0;IT;low;1
484;NORTON;0.38;0.52;2;145;3;0;4;0;sales;low;1
5290;GALAN;0.59;0.94;4;136;2;0;0;0;sales;medium;2
6218;SCHUTTE;0.65;0.76;3;111;5;0;0;0;technical;medium;2
1005;COTTON;0.54;0.56;4;260;3;0;0;0;sales;medium;2
733;LOZANO;0.38;0.45;2;129;3;0;4;0;support;medium;2
11087;PENLEY;0.55;0.86;4;169;6;0;0;0;IT;medium;2
10016;BOHRER;0.61;0.64;3;187;2;0;0;0;sales;medium;2
5979;WEISER;0.48;0.62;4;210;2;0;0;0;sales;medium;2
514;SHEPHERD;0.83;0.96;5;275;5;0;4;0;support;low;1
9072;SCALF;0.63;0.81;4;216;4;0;0;0;product_mng;medium;2
13043;BRANTNER;0.47;0.53;3;111;4;0;0;0;RandD;medium;2
14199;DEMKO;0.49;0.49;3;104;7;0;0;0;product_mng;high;3
543;MCKENZIE;0.89;0.92;5;237;5;0;4;0;sales;medium;2
7952;EDISON;0.41;0.56;2;121;2;0;1;0;sales;medium;2
7888;MOULTRIE;0.45;0.79;5;97;6;1;0;0;accounting;high;3
13314;JI;0.77;0.81;4;164;3;0;0;0;technical;high;3
14218;YARGER;0.92;0.85;5;259;5;0;4;0;sales;low;1
1693;ELIAS;0.42;0.53;2;132;3;1;4;0;sales;low;1
12833;OVERLY;0.6;0.49;3;239;2;0;0;0;sales;medium;2
10686;ALBINO;0.62;0.95;4;140;2;0;0;0;accounting;low;1
12599;GILLAND;0.11;0.92;7;307;4;0;4;0;IT;low;1
7976;LUBIN;0.6;0.57;5;145;3;1;0;0;technical;low;1
1061;DILLARD;0.34;0.97;6;157;5;1;0;0;RandD;low;1
995;LUTZ;0.38;0.46;2;144;3;0;4;0;management;low;1
5989;WENDEL;0.43;0.46;4;169;5;0;0;0;technical;high;3
9334;OLNEY;0.79;0.49;4;163;3;0;0;0;sales;high;3
6524;ABAD;0.99;0.92;4;229;2;0;0;0;technical;medium;2
11534;COHAN;0.64;0.79;4;139;3;0;0;0;sales;low;1
3410;LITTLEFIELD;0.21;0.66;4;165;5;0;0;0;support;low;1
6953;GOTTSCHALK;0.54;0.81;3;145;2;0;0;0;marketing;high;3
372;RAMSEY;0.39;0.48;2;141;3;0;4;0;product_mng;medium;2
2915;MORRELL;0.38;0.43;2;160;6;0;0;0;sales;medium;2
1548;KILGORE;0.9;0.99;4;259;6;0;4;0;sales;medium;2
11164;CROTHERS;0.91;0.68;4;132;4;0;0;0;IT;medium;2
13284;RYLAND;0.49;0.63;3;181;3;1;0;0;product_mng;medium;2
13337;JOINES;0.25;0.9;6;229;8;0;0;0;sales;medium;2
5500;KIRKMAN;0.76;0.76;4;149;3;0;0;0;technical;medium;2
6394;RUE;0.72;0.7;3;238;2;0;0;0;management;low;1
8827;COGSWELL;0.78;0.63;4;265;3;0;0;0;support;medium;2
1930;RUSS;0.83;0.81;5;219;5;0;3;0;sales;low;1
2084;PERDUE;0.63;0.59;5;224;3;0;0;0;sales;low;1
2627;BELANGER;0.6;0.97;4;219;4;1;0;0;hr;low;1
5250;WALTHER;0.86;0.71;3;235;3;0;0;0;IT;medium;2
8107;LUTES;0.72;0.86;3;231;3;1;0;0;sales;medium;2
10377;HOHN;0.58;0.67;3;156;2;0;0;0;RandD;low;1
7842;BARTO;0.49;0.52;3;225;2;0;0;0;technical;high;3
6150;LEATHERS;0.67;0.66;3;151;3;0;0;0;technical;low;1
9629;SEGARRA;0.22;0.53;5;160;4;1;0;0;sales;medium;2
5424;NEUBAUER;1.0;0.98;3;177;2;0;0;0;management;low;1
14646;PRUNEDA;0.41;0.47;2;135;3;0;4;0;support;low;1
12924;WURST;0.65;0.89;5;223;3;1;0;0;accounting;medium;2
1464;FERREIRA;0.1;0.92;6;279;4;0;4;0;sales;medium;2
3465;GABLE;0.59;0.83;4;239;4;0;0;0;hr;high;3
3947;OLIVO;0.99;0.86;4;206;2;0;0;0;support;low;1
1225;MCKENNA;0.39;0.46;2;127;3;0;4;0;management;low;1
5727;LOVELAND;0.83;0.64;2;192;2;0;0;0;sales;low;1
14685;CHARTRAND;0.87;1.0;5;242;5;0;4;0;sales;low;1
10424;GABALDON;0.75;0.62;5;144;3;0;0;0;technical;low;1
11768;BACKES;0.8;0.84;4;242;2;1;0;0;marketing;low;1
13417;LIPTAK;1.0;0.72;5;194;7;1;0;0;sales;medium;2
11172;BEESLEY;0.67;0.52;4;207;3;0;0;0;IT;medium;2
10350;SHETH;1.0;0.86;4;195;4;0;0;0;support;medium;2
2454;OUELLETTE;0.72;0.79;3;149;3;0;0;0;sales;medium;2
5535;LIAO;0.95;0.81;4;238;2;0;0;0;technical;low;1
12261;VANDERHOOF;0.82;0.97;5;263;5;0;4;0;hr;medium;2
10819;DUBIN;0.9;0.74;3;193;3;0;0;0;technical;medium;2
12855;CRUMB;0.22;0.54;6;169;4;0;0;0;technical;low;1
9476;LINE;0.8;0.84;3;251;3;0;0;0;sales;medium;2
5901;MCCLINTON;0.88;0.59;2;144;3;0;0;0;sales;medium;2
9688;DENMARK;0.64;0.92;5;211;2;1;0;0;IT;medium;2
14869;CULOTTA;0.38;0.53;2;146;3;0;4;0;support;low;1
7997;SCHIFF;0.61;0.86;4;153;5;0;0;0;IT;medium;2
9131;EVERETTE;0.18;0.73;5;228;5;0;0;0;support;low;1
14336;SILLER;0.11;0.92;6;260;4;0;4;0;support;low;1
784;SPEARS;0.44;0.57;2;131;3;0;4;0;sales;low;1
969;RITTER;0.41;0.48;2;130;3;0;4;0;support;high;3
3398;MALCOLM;0.64;0.5;3;238;4;0;0;0;technical;low;1
6191;MCCAFFERTY;1.0;0.67;3;199;4;0;0;0;sales;low;1
13444;MCGUIRK;0.7;0.85;4;142;2;0;0;0;support;low;1
3968;LING;0.58;0.7;5;151;4;0;0;0;marketing;medium;2
3241;COSBY;0.9;0.76;2;211;4;0;0;0;technical;low;1
4804;WEATHERLY;0.91;0.95;4;171;3;0;0;0;RandD;low;1
14120;BOYKO;0.85;0.58;4;186;7;0;0;0;sales;medium;2
14757;PRINS;0.37;0.47;2;149;3;0;4;0;sales;low;1
1826;OSORIO;0.1;0.86;6;247;4;0;4;0;IT;medium;2
11137;TRIEU;0.63;0.57;4;192;3;0;0;0;technical;high;3
11731;MAGERS;0.77;0.82;4;134;3;0;0;1;sales;low;1
5799;KILEY;0.51;1.0;4;197;2;0;0;0;RandD;low;1
1925;ECKERT;0.73;0.97;6;189;2;0;2;0;sales;low;1
1294;ABRAMS;0.44;0.55;2;137;3;0;4;0;RandD;low;1
17;JACKSON;0.78;0.99;4;255;6;0;4;0;sales;low;1
12263;HAGEMANN;0.11;0.78;6;260;4;0;4;0;hr;medium;2
3480;KEEFER;0.87;0.59;5;154;3;0;0;0;support;low;1
6321;SASS;0.67;0.75;4;133;2;0;0;0;IT;medium;2
6728;SITES;0.49;0.51;2;182;3;0;0;0;sales;low;1
13256;SEIDMAN;0.89;0.39;5;218;2;0;0;0;technical;low;1
11089;LOZIER;0.72;0.98;4;156;3;0;0;0;product_mng;medium;2
2249;POWER;0.9;0.48;4;204;3;0;0;0;technical;medium;2
6897;DEHAVEN;0.87;0.54;3;260;2;0;0;0;sales;medium;2
4141;LOFTUS;0.74;0.74;5;175;3;0;0;0;sales;low;1
2719;MIXON;0.61;0.77;4;142;3;0;0;0;support;medium;2
10917;TILGHMAN;0.99;0.73;4;240;4;0;0;0;accounting;low;1
13519;HAMMES;0.83;0.93;3;247;2;0;0;0;hr;low;1
7695;ALLEMAN;0.72;0.81;4;144;2;0;0;0;IT;low;1
951;DUKE;0.36;0.52;2;157;3;0;4;0;technical;low;1
7441;BEAMON;0.92;0.77;5;191;2;0;0;0;technical;medium;2
9956;PETRUCCI;0.59;0.82;3;149;3;0;0;0;hr;low;1
11769;SCHLEY;0.73;0.72;4;233;2;0;0;0;sales;low;1
11457;WAKEMAN;0.4;0.62;4;127;5;0;0;0;accounting;low;1
9281;ALDERETE;0.32;0.64;3;151;3;0;0;0;support;low;1
1127;SUTHERLAND;0.1;0.85;7;261;4;0;4;0;IT;medium;2
12918;TRONCOSO;0.96;0.55;3;225;4;1;0;0;sales;medium;2
6504;XIE;0.56;0.5;3;156;3;1;0;0;sales;medium;2
11857;LARIMORE;0.79;0.62;5;167;3;0;0;0;sales;low;1
14407;DRYE;0.27;0.54;7;278;3;0;4;0;technical;low;1
3883;CRADDOCK;0.49;0.61;3;181;3;0;0;0;product_mng;medium;2
8550;CROSSLAND;0.99;0.58;4;183;3;0;0;0;marketing;low;1
11808;MONKS;0.69;0.9;5;103;5;0;0;0;product_mng;low;1
6583;SPILLMAN;0.79;0.94;3;204;2;1;0;0;sales;low;1
3418;MOHAMMED;0.36;0.55;6;226;6;0;0;0;management;medium;2
2126;BRANNON;0.73;0.52;4;162;3;0;0;0;product_mng;low;1
10501;LLANOS;0.32;0.4;2;132;3;0;0;0;technical;low;1
13287;FITZGIBBON;0.59;0.48;3;197;3;0;0;0;product_mng;medium;2
1894;CRENSHAW;0.11;0.89;6;268;4;0;4;0;IT;medium;2
10248;NOYOLA;0.94;0.57;3;166;4;0;0;0;sales;medium;2
7587;GAETA;0.51;0.87;3;180;4;0;1;0;hr;low;1
9269;LAKIN;0.68;0.74;3;227;2;0;0;0;technical;medium;2
2287;CONN;0.29;0.56;5;231;6;0;0;0;RandD;medium;2
4232;MERCIER;0.82;0.92;3;187;3;1;0;0;hr;medium;2
13217;LAXTON;0.8;0.81;5;248;2;1;0;0;RandD;low;1
4907;HARLESS;0.62;0.49;3;158;2;0;0;0;sales;low;1
12752;OVERTURF;0.37;0.57;2;129;3;0;4;0;product_mng;low;1
8763;LASKY;0.99;0.62;4;256;2;0;0;0;IT;medium;2
2990;DIAL;0.74;0.48;5;144;3;0;0;0;sales;medium;2
1318;VERA;0.11;0.96;6;267;4;0;4;0;sales;medium;2
7736;COWDEN;0.82;0.65;4;168;3;0;0;0;accounting;low;1
8742;HAUGH;0.84;0.5;5;267;2;0;0;0;technical;low;1
14681;MEESE;0.1;0.85;6;260;4;0;4;0;sales;low;1
11117;STRIPLING;0.45;0.55;4;206;2;0;0;0;sales;low;1
8011;SCHLESINGER;0.66;0.93;4;187;2;0;0;0;RandD;low;1
5359;KIPP;0.84;0.59;3;234;2;0;0;0;sales;medium;2
4734;COLLADO;0.97;0.61;4;167;3;0;0;1;accounting;high;3
10607;MAREZ;0.75;0.59;3;117;3;1;0;0;RandD;medium;2
3064;PEMBERTON;0.95;0.66;4;168;2;0;0;0;sales;medium;2
2512;HACKER;0.22;0.81;5;205;4;0;0;0;RandD;low;1
9011;BRUNETTE;0.17;0.76;4;199;5;0;0;0;management;medium;2
5583;CORY;0.58;0.5;3;144;3;0;0;0;sales;medium;2
1841;MCCAIN;0.84;1.0;5;242;5;0;4;0;sales;low;1
6824;ANNIS;0.49;0.85;4;238;2;0;0;0;hr;medium;2
11395;WAINSCOTT;0.54;0.79;5;249;3;1;0;0;management;high;3
1502;GEIGER;0.1;0.83;5;271;5;0;4;0;support;low;1
13177;JEON;0.87;0.87;4;144;3;0;0;0;support;low;1
7766;MCAULEY;0.8;0.99;5;187;3;1;0;0;technical;medium;2
588;CHARLES;0.87;0.9;5;258;5;0;4;0;support;low;1
6356;ADDINGTON;0.4;0.72;3;204;4;1;0;0;sales;low;1
11547;LUA;0.42;0.8;4;259;7;1;0;0;sales;medium;2
8770;KREGER;0.57;0.46;3;207;3;0;0;0;product_mng;medium;2
1226;SIERRA;0.4;0.48;2;142;3;0;4;0;marketing;low;1
6573;SWINDLE;0.57;0.65;4;162;3;1;0;0;sales;low;1
5455;GOURLEY;0.62;0.72;2;180;2;1;0;0;technical;low;1
10027;TROXEL;0.88;0.8;4;239;3;0;0;0;sales;low;1
12783;SCHMALZ;0.66;0.66;3;225;3;0;0;0;technical;low;1
7684;ANGUS;0.32;0.55;4;167;5;0;0;0;support;medium;2
3748;WILKS;0.8;0.58;5;127;3;0;0;0;sales;low;1
2452;GAVIN;0.41;0.4;2;194;2;0;0;0;sales;low;1
3520;MANGUM;0.52;0.44;3;119;2;0;0;0;sales;low;1
4541;CUSHMAN;0.74;0.94;3;286;6;0;0;1;technical;medium;2
6252;RAGER;0.6;0.71;5;263;2;1;0;0;IT;medium;2
1303;COFFMAN;0.45;0.57;2;149;3;0;4;0;marketing;low;1
9208;SANKEY;0.8;0.97;4;220;3;0;0;0;support;low;1
622;SHIELDS;0.1;0.55;2;247;4;0;3;0;sales;medium;2
13184;GALEANO;0.67;0.63;3;227;3;0;0;0;technical;medium;2
7872;PASTORE;0.13;0.52;6;188;3;0;0;0;sales;medium;2
4900;PENROD;0.83;0.87;5;233;3;0;0;0;sales;low;1
4787;BEESON;0.87;0.9;4;163;2;0;0;0;support;medium;2
6975;BENN;0.8;0.84;3;203;3;1;0;0;accounting;medium;2
9175;KISNER;0.64;0.99;5;262;5;0;1;0;sales;low;1
1699;MCCOLLUM;0.43;0.46;2;126;3;0;4;0;sales;medium;2
11403;DROST;0.48;0.67;4;220;3;0;0;1;management;medium;2
12948;CUMBERLAND;0.7;0.95;4;231;3;0;0;0;support;medium;2
8371;COGAN;0.62;0.51;4;274;2;0;0;0;support;medium;2
4199;BLYTHE;0.98;0.51;3;157;3;0;0;0;marketing;medium;2
7807;EDDINGS;0.7;0.78;5;264;2;0;0;0;sales;medium;2
11000;CORTINAS;0.49;0.6;2;113;5;0;0;0;IT;low;1
6720;DAMIAN;0.57;0.49;3;159;4;1;0;0;technical;high;3
8969;BITNER;0.58;0.6;4;222;3;0;0;0;technical;medium;2
12028;FELLERS;0.41;0.46;2;128;3;0;4;0;accounting;low;1
7258;KLATT;0.82;0.9;3;227;3;0;0;0;marketing;medium;2
7184;LANDES;0.16;0.69;4;187;5;0;0;0;marketing;medium;2
8520;GARWOOD;0.23;0.68;5;244;3;0;0;0;support;low;1
1150;CHAMBERLAIN;0.43;0.46;2;129;3;0;4;0;marketing;low;1
7604;MARTI;0.73;0.52;2;113;5;1;0;0;support;medium;2
975;HANEY;0.36;0.54;2;136;3;0;4;0;IT;low;1
13885;RO;0.95;0.77;5;199;10;1;0;0;sales;medium;2
13531;LYDA;0.57;0.82;4;269;2;0;0;0;technical;medium;2
8374;ROBERGE;0.57;0.75;5;172;4;0;0;0;support;medium;2
5406;COSTANZO;0.73;0.78;4;181;4;0;0;0;IT;low;1
13741;QUANDT;0.6;0.65;2;225;10;0;0;0;management;high;3
9214;SWETT;0.94;0.78;4;211;3;0;0;0;support;medium;2
14305;NEHER;0.09;0.83;6;255;4;0;4;0;sales;low;1
373;HARDY;0.36;0.57;2;142;3;0;4;0;product_mng;medium;2
9966;PEAY;0.74;0.82;5;154;2;0;0;0;technical;medium;2
307;LEONARD;0.11;0.81;5;287;4;0;4;0;sales;low;1
2299;DEMARCO;0.38;0.44;3;137;3;0;0;0;sales;medium;2
3842;WOFFORD;0.44;0.81;3;248;2;0;0;0;accounting;medium;2
1412;DRISCOLL;0.46;0.46;2;140;3;0;4;0;technical;low;1
13246;HEASLEY;0.48;1.0;4;261;3;0;0;0;accounting;low;1
9128;VILLALBA;0.79;0.87;3;232;2;0;0;0;support;low;1
4689;WOODBURY;0.74;0.76;3;224;2;0;0;0;hr;low;1
2600;BONDS;0.99;0.97;3;257;2;0;0;0;marketing;medium;2
9669;WINNINGHAM;0.92;0.97;4;199;3;0;0;0;support;low;1
9235;WHISENHUNT;0.99;0.81;4;229;2;1;0;0;sales;medium;2
9229;SCALISE;0.83;0.91;3;251;2;0;0;0;RandD;medium;2
10745;HONEY;0.84;0.86;3;199;3;0;0;0;IT;medium;2
8743;DUNIGAN;0.93;0.48;5;134;6;0;0;0;technical;low;1
9972;PETTIFORD;0.59;0.59;4;244;3;0;0;0;support;medium;2
14111;MANG;0.83;0.57;2;222;2;0;0;0;sales;medium;2
559;FLOWERS;0.11;0.8;7;296;4;0;4;0;sales;low;1
9358;DONOGHUE;0.75;0.49;4;246;3;0;0;0;support;low;1
14079;EMERT;0.84;0.44;5;131;5;1;0;0;support;medium;2
869;CHUNG;0.38;0.57;2;152;3;1;4;0;hr;low;1
1426;BARRIOS;0.36;0.55;2;138;3;0;4;0;support;medium;2
13228;WINDERS;0.73;0.88;5;233;4;1;0;0;sales;medium;2
14431;TRANG;0.1;0.84;6;286;4;0;4;0;product_mng;low;1
12800;KREUTZER;0.59;0.88;3;159;2;0;0;0;technical;medium;2
1527;KRAFT;0.38;0.55;2;131;3;0;4;0;marketing;low;1
6347;NASON;0.6;0.45;3;173;2;0;0;0;sales;low;1
1957;SOLANO;0.76;0.83;6;293;6;0;3;0;support;low;1
14237;PRIMEAUX;0.82;0.87;4;239;5;0;4;0;sales;low;1
10458;FELD;0.49;0.5;5;183;3;0;0;0;accounting;low;1
3874;BELT;0.67;0.57;2;234;4;0;0;0;management;low;1
2878;FRALEY;0.74;0.59;4;155;3;0;0;0;support;medium;2
6494;BANNON;0.83;0.55;3;257;2;0;0;0;marketing;low;1
3197;ACKER;0.94;0.77;5;210;3;0;0;0;product_mng;high;3
3668;MCCUTCHEON;0.64;0.64;3;263;3;0;0;0;marketing;high;3
9343;FITZHUGH;0.99;0.92;5;213;2;0;0;0;hr;high;3
4966;NOWLIN;0.74;0.58;4;233;4;0;0;0;marketing;medium;2
1333;GREENWOOD;0.11;0.89;7;257;4;0;4;0;technical;low;1
10845;MUMMERT;0.77;0.91;4;161;3;0;0;0;marketing;low;1
14740;GUZZO;0.39;0.57;2;145;3;0;4;0;accounting;medium;2
6597;BURBANK;0.9;0.97;4;239;4;0;0;0;technical;medium;2
14930;GRAVLEY;0.11;0.89;6;268;4;0;4;0;IT;medium;2
9150;OSTERMAN;0.88;0.55;5;168;2;0;0;0;product_mng;medium;2
9891;WINDLE;0.74;0.44;5;169;3;1;0;0;technical;medium;2
2777;FRANCE;0.89;0.95;4;141;3;0;0;0;accounting;low;1
1383;SANDERSON;0.43;0.46;2;145;3;0;4;0;sales;low;1
1144;ONEIL;0.43;0.45;2;140;3;0;4;0;sales;low;1
10348;BAISDEN;0.84;0.79;2;150;3;0;0;0;technical;low;1
9183;ANSARI;0.77;0.84;4;196;3;0;0;0;sales;low;1
5160;FIKE;0.52;0.81;3;253;2;0;0;0;support;medium;2
2826;SHELBY;0.62;0.9;4;155;4;0;0;0;sales;low;1
9380;BJORK;0.51;0.73;5;241;3;0;0;0;IT;low;1
1341;CROUCH;0.9;0.94;5;247;5;0;4;0;technical;low;1
5054;BARBOZA;0.75;0.9;4;197;2;0;0;0;sales;medium;2
14855;AKE;0.58;0.62;4;238;3;0;3;0;hr;low;1
11876;FILER;0.4;0.47;5;173;5;0;0;0;technical;medium;2
4883;WALTZ;0.78;0.95;3;249;4;0;0;0;RandD;low;1
7791;SHEAFFER;0.33;0.4;6;214;6;0;0;0;marketing;medium;2
81;CRUZ;0.38;0.49;2;151;3;0;4;0;technical;low;1
1552;GOODE;0.17;0.55;6;250;5;0;0;0;sales;medium;2
6049;KIRKSEY;0.56;0.41;2;194;2;0;0;0;sales;medium;2
11576;MAXON;0.97;0.51;5;215;7;0;0;0;management;high;3
10670;DIPAOLO;0.58;0.49;3;167;3;0;0;0;IT;medium;2
4117;IGLESIAS;0.44;0.74;4;250;6;0;0;0;RandD;medium;2
14460;HURTT;0.11;0.84;6;298;4;0;4;0;sales;low;1
9894;WAGSTAFF;0.57;0.48;5;221;3;0;0;0;support;medium;2
5199;HUNG;0.34;0.87;4;283;2;0;0;0;sales;high;3
8109;PIZANO;0.53;0.97;4;249;3;0;0;0;sales;medium;2
3881;MACIEL;0.88;0.67;5;141;2;0;0;0;product_mng;medium;2
10875;SPURLING;0.66;0.91;3;191;4;0;0;0;technical;low;1
8479;CALLISON;0.73;0.72;5;178;2;0;0;0;management;low;1
11827;SZETO;0.53;0.68;4;173;3;0;0;0;sales;medium;2
9160;FELTNER;0.23;0.94;4;149;6;0;0;0;accounting;low;1
4413;GRAZIANO;0.6;0.65;4;160;2;0;0;0;IT;low;1
9987;CADET;0.79;0.88;3;195;4;0;0;0;IT;low;1
14547;BOURDON;0.77;0.87;5;266;5;0;4;0;accounting;medium;2
8896;EVERITT;0.5;0.76;4;229;3;1;0;0;technical;low;1
6207;WHITMER;0.63;0.98;4;210;3;0;0;0;sales;medium;2
12421;GHOLSTON;0.1;0.94;6;287;4;0;4;0;technical;medium;2
11140;STRAKA;0.55;0.68;3;178;3;1;0;0;technical;high;3
7539;BEACHY;0.61;0.66;2;111;3;0;0;0;technical;medium;2
4445;CARDOSO;0.91;0.91;6;167;2;1;1;0;sales;low;1
14398;MCMATH;0.4;0.46;2;143;3;0;4;0;hr;medium;2
3029;ESPINO;0.82;0.89;4;237;3;0;0;0;support;medium;2
5110;SALLEE;0.71;0.76;3;201;2;0;0;0;RandD;medium;2
3535;CONCEPCION;0.96;0.5;3;234;2;1;0;0;sales;medium;2
13973;GAXIOLA;0.81;0.9;4;270;10;0;4;0;accounting;medium;2
2740;CARRINGTON;0.32;0.73;6;194;5;0;0;0;product_mng;low;1
12979;CUDDY;0.83;0.95;3;264;2;0;0;0;marketing;low;1
1629;URBAN;0.86;0.97;5;269;5;0;4;0;sales;medium;2
4027;ROLLER;0.65;0.67;4;144;3;0;0;0;technical;low;1
1074;MACKEY;0.86;0.83;4;270;5;0;4;0;marketing;medium;2
6574;SWINDELL;0.73;0.55;4;267;3;0;0;0;sales;low;1
12096;PRIVETTE;0.1;0.77;6;265;4;0;4;0;sales;low;1
7257;SALTZMAN;0.74;1.0;4;219;3;0;0;0;management;medium;2
515;CAIN;0.88;1.0;5;219;6;1;4;0;technical;low;1
9324;SLY;0.57;0.66;4;158;2;0;0;0;sales;low;1
6990;AIKENS;0.67;0.67;4;226;2;0;0;0;technical;high;3
10056;NEUFELD;0.89;0.61;3;211;2;0;0;0;support;low;1
11661;KOVAC;0.44;0.66;6;134;8;0;0;0;RandD;high;3
14832;VALIENTE;0.1;0.86;6;247;4;0;4;0;sales;medium;2
2340;ALANIZ;0.48;0.55;3;228;2;0;0;0;support;low;1
8331;SIGMAN;0.63;0.9;4;188;4;1;0;0;sales;low;1
9237;YOU;0.64;0.69;5;114;6;0;0;0;support;medium;2
2367;VICK;0.64;0.54;3;166;2;0;0;0;support;medium;2
4795;SILLS;0.55;0.81;5;251;3;0;0;0;IT;low;1
2288;MEEK;0.47;0.9;3;101;2;1;0;0;marketing;medium;2
936;POLLARD;0.1;0.95;7;301;4;0;4;0;sales;low;1
13964;ASHBROOK;0.5;0.73;3;154;10;0;0;0;IT;medium;2
8596;COOTS;0.97;0.94;3;160;3;0;0;0;support;low;1
9418;BARANOWSKI;0.74;0.51;5;198;3;0;0;0;hr;low;1
5757;HAMANN;0.37;0.52;4;211;4;0;0;0;hr;low;1
259;CHEN;0.11;0.84;6;287;4;0;4;0;accounting;medium;2
13656;ARTMAN;0.51;0.63;5;260;2;0;0;0;product_mng;high;3
14978;DROZD;0.4;0.47;2;144;3;0;4;0;hr;medium;2
12772;SUMMEY;0.31;0.77;4;149;3;0;3;0;sales;medium;2
