;name;satisfaction_level;last_evaluation;number_projects;average_monthly_hours;time_spent_company;work_accident;left;promotion_last_5_years;department;salary;salary_level
12376;SHUMPERT;0.56;0.71;4;296;2;0;0;0;IT;medium;2
9214;SWETT;0.94;0.78;4;211;3;0;0;0;support;medium;2
14881;DONIS;0.43;0.56;2;129;3;0;2;0;sales;low;1
14790;CATCHINGS;0.39;0.55;2;159;3;0;1;0;technical;high;3
1844;ROCHE;0.37;0.51;2;154;3;1;1;0;sales;low;1
8178;ANSON;0.46;0.55;3;139;2;0;2;0;sales;medium;2
5988;JUDKINS;0.72;0.99;4;227;3;0;0;0;hr;high;3
3721;BUFORD;0.91;0.65;5;174;2;0;0;0;technical;medium;2
977;HOLDER;0.11;0.87;5;303;4;0;4;0;IT;low;1
14610;BECKSTEAD;0.1;0.87;6;250;4;0;4;0;sales;low;1
5574;WORSHAM;0.22;0.65;6;212;4;0;4;0;sales;medium;2
13022;GROSSE;0.97;0.93;5;137;2;1;0;0;support;low;1
77;BENNETT;0.4;0.54;2;137;3;0;1;0;marketing;medium;2
6748;ARNESON;0.98;0.74;4;139;3;0;0;0;hr;medium;2
5430;CASAREZ;0.48;0.97;3;224;6;0;4;0;sales;medium;2
1298;DUNBAR;0.45;0.45;2;131;3;0;1;0;sales;low;1
12348;MINYARD;0.11;0.84;7;264;4;0;3;0;technical;medium;2
3714;FARRINGTON;0.72;0.66;3;160;3;0;0;0;support;medium;2
4012;TESTA;0.5;0.57;3;223;3;0;1;0;technical;low;1
10161;BEERY;0.86;0.9;3;158;2;0;0;0;sales;medium;2
10003;TOUPS;0.16;0.7;6;246;4;0;3;0;support;medium;2
12457;SIPPLE;0.77;1.0;4;255;5;0;1;0;RandD;medium;2
6418;CLAIBORNE;0.98;0.7;3;255;2;1;0;0;marketing;low;1
3932;LEIGHTON;0.86;0.73;5;259;2;0;0;0;technical;medium;2
14664;SOLA;0.37;0.54;2;145;3;0;2;0;RandD;medium;2
9213;FALCONER;0.74;0.58;4;193;3;0;1;0;support;medium;2
12441;ENSOR;0.36;0.78;2;151;4;0;4;0;technical;low;1
1152;PUCKETT;0.39;0.55;2;152;3;1;0;0;sales;medium;2
4400;REUTER;0.8;0.73;5;135;3;0;0;0;support;medium;2
10182;PETREE;0.91;0.7;6;201;2;1;0;0;accounting;low;1
2077;BARRAGAN;0.74;0.62;4;236;4;0;1;0;sales;low;1
5200;EBERHARDT;0.77;0.52;4;216;3;0;1;0;sales;medium;2
12119;EVERT;0.4;0.46;2;132;3;0;3;0;technical;low;1
3181;KEMPER;0.65;0.7;4;157;4;0;0;0;support;medium;2
6558;DELIA;0.66;0.84;3;211;4;0;1;0;RandD;high;3
7;GARCIA;0.92;0.85;5;259;5;0;0;0;sales;low;1
6714;NICELY;0.19;0.69;4;269;6;0;4;0;RandD;medium;2
10247;PETRI;0.84;0.76;5;243;3;0;0;0;sales;medium;2
14825;LONGSHORE;0.09;0.9;7;296;4;0;3;0;technical;medium;2
14245;ACHESON;0.84;0.87;4;246;6;0;3;0;hr;low;1
8225;ARGO;0.96;0.53;3;158;4;0;0;0;technical;medium;2
12274;POORMAN;0.11;0.9;6;254;4;0;4;0;technical;low;1
13016;CHECK;0.44;0.37;2;219;2;0;1;0;technical;low;1
7911;PAQUIN;0.67;0.8;4;137;2;0;1;0;support;medium;2
5809;MUNGER;0.73;0.81;5;173;3;0;1;0;marketing;low;1
1701;MCNEAL;0.09;0.77;6;282;5;0;3;0;sales;medium;2
6229;ROME;0.74;0.66;3;257;3;0;3;0;support;low;1
6115;MAHLER;0.63;0.86;4;169;2;0;0;0;sales;high;3
12529;DEVITA;0.39;0.57;2;145;3;0;1;0;accounting;medium;2
2578;SLACK;0.53;0.88;3;157;3;0;1;0;IT;low;1
2971;BRIONES;0.86;0.69;5;157;3;0;0;0;IT;low;1
9340;OSHIRO;0.77;0.73;5;263;2;0;0;0;accounting;high;3
6736;WORTMAN;0.98;0.57;3;229;3;0;1;0;sales;low;1
13331;BAYLISS;0.68;0.89;5;218;5;0;2;0;sales;low;1
11502;ELLINGER;0.6;0.52;3;183;2;0;1;0;support;low;1
3749;VIERA;0.55;0.77;3;256;3;1;1;0;sales;low;1
11354;SAYLER;0.62;0.97;2;271;3;0;2;0;sales;low;1
8071;POSS;0.78;0.99;2;188;2;0;1;0;technical;medium;2
5385;RAHN;0.62;0.66;5;165;3;0;2;0;technical;low;1
14806;OHAGAN;0.09;0.87;5;263;4;0;4;0;IT;low;1
6537;PROULX;0.49;0.63;3;245;4;0;4;0;support;low;1
9288;LOUGHLIN;0.94;0.63;5;261;3;0;1;0;support;low;1
3868;SHOWALTER;0.49;0.51;4;133;3;0;1;0;support;low;1
3494;HOMAN;0.92;0.93;4;247;2;0;0;0;management;medium;2
14843;OATMAN;0.11;0.89;6;260;5;0;4;0;sales;low;1
5443;COWARD;0.62;0.74;4;173;2;0;1;0;sales;medium;2
13617;SUTLIFF;0.82;0.71;2;209;5;0;1;1;marketing;medium;2
48;TURNER;0.4;0.54;2;148;3;0;2;0;support;low;1
10752;NAPPER;0.94;0.69;5;145;2;0;0;0;product_mng;medium;2
14933;DHALIWAL;0.1;0.94;7;264;4;0;3;0;IT;medium;2
11570;FALES;0.92;0.68;4;178;3;0;0;0;product_mng;low;1
7259;CHESNEY;0.86;0.91;4;182;2;0;0;0;marketing;medium;2
3476;COCKRELL;0.81;0.76;5;134;2;0;0;0;technical;low;1
13289;RAI;0.69;0.88;3;164;10;0;4;0;management;medium;2
241;MENDEZ;0.37;0.46;2;156;3;0;2;0;sales;low;1
2576;BOLIN;0.7;0.53;4;152;3;0;1;0;technical;low;1
5434;KIMBRELL;0.61;0.51;4;242;3;0;1;0;sales;medium;2
8;RODRIGUEZ;0.89;1.0;5;224;5;0;0;0;sales;low;1
3416;REGALADO;0.84;0.97;6;223;2;0;0;0;technical;medium;2
9118;PASTRANA;0.9;0.49;3;237;2;0;0;0;technical;medium;2
1817;MEDEIROS;0.38;0.5;2;144;3;0;1;0;IT;medium;2
10957;MCMANN;0.82;0.53;3;147;3;1;0;0;technical;low;1
6889;CRIM;0.71;0.93;3;287;5;0;3;0;sales;medium;2
4711;DABNEY;0.73;0.5;4;224;4;1;0;0;support;low;1
7554;PADEN;0.8;0.68;3;160;3;0;1;0;RandD;low;1
6356;ADDINGTON;0.4;0.72;3;204;4;1;3;0;sales;low;1
12829;BOOKMAN;0.92;0.64;4;259;2;0;0;0;sales;medium;2
2101;QUINTANILLA;1.0;0.74;3;220;4;0;0;0;technical;low;1
11822;POTVIN;0.57;0.99;3;222;3;1;0;1;management;low;1
1805;MCNEILL;0.1;0.87;6;254;5;0;4;0;support;low;1
8699;MELLINGER;0.65;0.66;6;240;4;0;1;0;RandD;medium;2
437;WANG;0.43;0.53;2;160;3;0;2;0;support;low;1
2871;BENNER;0.77;0.49;4;217;2;0;0;0;support;medium;2
2957;POINDEXTER;0.75;0.7;5;269;3;0;0;0;support;medium;2
10578;POSTELL;0.61;0.96;3;247;3;0;1;0;support;low;1
7812;SADDLER;0.89;0.76;4;133;2;0;0;0;accounting;low;1
10016;BOHRER;0.61;0.64;3;187;2;0;0;0;sales;medium;2
5449;BOOK;0.54;0.51;3;265;3;0;4;0;accounting;low;1
14069;WALLICK;0.53;0.64;3;168;3;0;1;0;sales;low;1
7476;LEININGER;0.65;0.48;4;229;3;0;0;0;RandD;high;3
3766;GERARD;0.44;0.74;5;253;2;0;1;0;accounting;medium;2
4821;BECHTEL;0.71;0.88;4;266;3;0;0;0;sales;high;3
8934;KROPP;0.69;0.72;2;190;2;0;1;0;technical;medium;2
12874;ECKLES;0.54;0.76;4;244;2;0;0;0;support;medium;2
6049;KIRKSEY;0.56;0.41;2;194;2;0;2;0;sales;medium;2
148;MASON;0.84;0.88;4;263;5;1;0;0;marketing;low;1
9082;DICE;0.99;0.71;4;212;2;0;0;0;marketing;medium;2
6693;HARROLD;0.79;0.72;3;216;4;0;2;0;support;low;1
4846;THORSON;0.57;0.57;4;141;3;0;1;0;technical;low;1
12959;KINSLOW;0.14;0.73;6;237;5;0;4;0;IT;medium;2
1467;HURTADO;0.1;0.89;7;272;4;0;3;0;sales;medium;2
7332;HALTER;0.62;0.54;4;170;3;0;1;0;technical;medium;2
9278;TOMA;0.16;0.73;6;170;3;0;4;0;technical;low;1
13009;FARGO;0.6;0.66;4;132;4;0;1;0;technical;medium;2
135;OLSON;0.31;0.84;7;133;5;0;2;0;technical;low;1
12340;LONGENECKER;0.09;0.89;7;308;5;0;4;0;hr;medium;2
8877;BARTHEL;0.86;0.68;5;246;2;0;0;0;sales;medium;2
5116;MAGALLANES;0.85;0.79;3;243;2;0;0;1;technical;medium;2
7915;MELGOZA;0.75;0.93;5;210;3;0;1;0;support;medium;2
899;COSTA;0.84;0.83;5;238;5;0;0;0;IT;low;1
9591;KYSER;0.29;0.68;4;210;3;0;4;0;support;low;1
12330;LEAMAN;0.38;0.57;2;140;3;0;3;0;sales;low;1
7791;SHEAFFER;0.33;0.4;6;214;6;0;3;0;marketing;medium;2
2694;JAEGER;0.98;0.53;4;192;2;1;0;0;sales;low;1
10811;SAVALA;0.97;0.93;5;137;2;1;0;0;support;low;1
7865;BILBREY;0.85;0.69;4;216;4;0;1;0;management;low;1
4321;ANTOINE;0.98;0.63;3;137;3;0;0;0;support;medium;2
14614;STEMPLE;0.92;0.93;5;240;5;0;1;0;sales;low;1
1819;QUEZADA;0.11;0.82;7;285;4;0;2;0;IT;medium;2
12435;FISCH;0.41;0.47;2;135;3;0;2;0;support;low;1
2139;CHEEK;0.71;0.76;5;172;2;1;0;0;support;high;3
3647;LAVOIE;0.95;0.59;4;235;3;0;0;0;IT;medium;2
6706;WHITELEY;0.86;0.86;4;227;2;0;1;0;product_mng;low;1
4840;FELTS;0.77;0.86;4;215;2;0;0;0;hr;low;1
6953;GOTTSCHALK;0.54;0.81;3;145;2;0;1;0;marketing;high;3
6170;EASTWOOD;0.7;0.72;4;202;3;0;1;0;IT;medium;2
6358;BRUMBAUGH;0.81;0.98;5;243;6;0;1;0;sales;medium;2
14547;BOURDON;0.77;0.87;5;266;5;0;1;0;accounting;medium;2
14194;RUBEL;0.67;0.49;5;241;8;0;4;0;sales;medium;2
4304;THOMSEN;0.95;0.75;3;253;4;0;0;0;accounting;low;1
6449;JORGE;0.88;0.99;3;190;5;0;0;0;technical;high;3
8905;BETHUNE;0.91;0.79;4;254;2;0;0;0;support;high;3
2254;TINSLEY;0.91;0.82;3;183;3;0;0;0;technical;medium;2
2902;CHAMPAGNE;0.93;0.98;4;160;3;0;0;0;sales;low;1
5371;STOCKMAN;0.83;0.57;2;246;5;1;1;0;accounting;low;1
14917;FANSLER;0.4;0.48;2;142;3;0;3;0;support;low;1
13873;ALLOWAY;0.7;0.7;3;162;8;0;3;0;RandD;high;3
4022;SCARBROUGH;0.68;0.65;3;183;4;0;1;0;support;low;1
2343;LUNDY;0.82;0.97;3;115;2;1;0;0;support;low;1
10117;HOSSAIN;0.35;0.71;6;204;4;1;1;0;technical;medium;2
5256;MONCADA;0.79;0.75;2;221;3;0;3;0;product_mng;low;1
8317;JOSEPHSON;0.93;0.88;5;140;3;0;0;0;RandD;high;3
2640;CRISP;0.69;0.56;4;178;3;0;0;0;support;medium;2
7042;MENEFEE;0.53;0.97;3;189;3;0;4;0;sales;low;1
14640;ROBIDOUX;0.41;0.52;2;127;3;1;1;0;support;low;1
10063;MINNIS;0.7;0.64;5;260;3;0;1;0;IT;low;1
1765;PAIGE;0.9;1.0;4;229;5;0;0;0;sales;low;1
2926;KIMBROUGH;0.82;0.84;3;139;2;1;0;0;sales;low;1
2619;CONDON;0.88;0.86;4;224;3;1;0;0;sales;low;1
8742;HAUGH;0.84;0.5;5;267;2;0;1;0;technical;low;1
12216;BODIE;0.36;0.48;2;158;3;0;3;0;IT;low;1
3138;ROBINS;0.51;0.39;3;149;3;0;1;0;marketing;low;1
3803;DELL;0.69;0.93;3;233;3;0;0;0;IT;medium;2
1411;MASTERS;0.32;0.6;2;280;4;0;3;0;technical;low;1
12011;GETCHELL;0.11;0.81;6;305;4;0;4;0;sales;low;1
1884;HAYWOOD;0.87;0.91;5;228;5;0;0;0;support;low;1
13474;PATTILLO;0.98;0.98;4;170;10;0;4;0;IT;medium;2
12180;YALE;0.4;0.47;2;146;3;0;1;0;sales;medium;2
497;PHAM;0.59;0.49;7;263;4;0;0;0;technical;medium;2
6060;HALLORAN;0.48;0.51;4;152;4;0;1;0;accounting;high;3
14782;ZOU;0.73;1.0;4;252;5;0;2;0;technical;medium;2
9020;MATHERNE;0.69;0.8;3;177;4;0;3;0;sales;low;1
1013;CARVER;0.11;0.78;7;248;4;0;3;0;sales;medium;2
11551;ETHEREDGE;0.95;0.48;4;225;3;0;0;0;sales;medium;2
8211;ENSLEY;0.85;0.8;4;248;3;0;1;0;technical;low;1
14267;REPPERT;0.11;0.94;7;255;4;0;4;0;support;low;1
7346;SISNEROS;0.36;0.69;3;98;2;0;4;0;sales;low;1
7968;CRAVER;0.45;0.61;5;179;5;0;3;0;hr;low;1
1941;GRECO;0.81;0.85;4;251;6;0;0;0;hr;medium;2
12990;BURNER;0.79;0.61;4;227;2;0;0;1;sales;high;3
562;HOUSTON;0.4;0.57;2;160;3;0;2;0;accounting;low;1
12905;CARSTENSEN;0.97;0.9;5;262;3;0;0;0;sales;medium;2
10851;RIPPLE;0.5;0.81;3;170;2;0;1;0;sales;low;1
1920;MORELAND;0.37;0.49;2;148;3;0;2;0;sales;low;1
11000;CORTINAS;0.49;0.6;2;113;5;0;3;0;IT;low;1
11445;DESKINS;0.51;0.63;5;260;2;0;0;0;product_mng;high;3
772;SCHAEFER;0.31;0.77;4;149;3;0;1;0;sales;medium;2
4970;MATTHEW;0.74;0.59;2;257;4;1;0;0;sales;medium;2
12294;IMES;0.1;0.93;6;253;4;0;3;0;IT;medium;2
9044;BYINGTON;0.8;0.52;3;147;3;1;0;0;technical;medium;2
2396;KELSEY;0.48;0.82;3;183;2;0;1;0;hr;low;1
2841;RAINS;0.13;0.69;4;127;4;0;1;0;sales;high;3
2237;WEINER;0.74;0.72;4;176;3;0;1;0;sales;low;1
13463;MAHMOUD;0.76;0.45;4;147;2;0;0;0;product_mng;medium;2
11141;STEFFES;0.87;0.55;4;197;3;0;0;0;technical;high;3
7222;BEATON;0.69;0.56;3;240;2;0;1;0;support;medium;2
7754;KOLAR;0.5;0.74;5;256;3;1;1;0;support;medium;2
4303;HADDOCK;0.5;0.54;4;165;3;0;1;0;accounting;low;1
11108;RENDER;0.95;0.8;3;225;2;0;0;0;sales;high;3
11760;CAPE;0.32;0.48;4;117;10;0;4;1;marketing;medium;2
13652;ANGER;0.61;0.81;4;134;3;0;0;0;sales;medium;2
10465;SCHAFF;0.76;0.79;3;111;2;0;0;0;sales;low;1
1344;TOMLINSON;0.39;0.57;2;150;3;0;2;0;support;low;1
2741;FERRARO;0.8;0.9;4;241;2;0;0;0;IT;low;1
11560;GODLEY;0.2;0.6;5;261;8;0;4;0;sales;medium;2
13780;VIVAR;0.59;0.47;3;159;4;0;2;0;product_mng;low;1
5536;TUDOR;0.51;0.84;4;214;2;0;4;0;technical;low;1
14349;SICA;0.74;1.0;4;249;5;0;2;0;IT;low;1
3341;CARABALLO;0.64;0.95;3;218;2;0;1;0;technical;medium;2
9633;DUNTON;0.23;0.84;5;131;5;0;4;0;sales;low;1
111;RAMOS;0.09;0.85;6;289;4;0;2;0;hr;high;3
11209;PEARCY;0.38;0.43;3;188;7;0;4;0;sales;medium;2
9165;THIBEAULT;0.89;0.65;3;210;3;0;1;0;marketing;low;1
14400;KINLAW;0.44;0.51;2;156;3;0;1;0;technical;high;3
11091;BROOMFIELD;0.86;0.82;4;212;2;0;0;0;product_mng;medium;2
13193;SHERRARD;0.88;0.82;3;265;3;0;0;0;product_mng;medium;2
7441;BEAMON;0.92;0.77;5;191;2;0;0;0;technical;medium;2
2378;MUHAMMAD;0.67;0.64;4;190;2;0;0;0;sales;medium;2
5182;GAULT;0.66;0.61;3;260;3;0;3;0;IT;low;1
567;MASSEY;0.1;0.97;6;282;4;0;3;0;hr;medium;2
12440;GUMP;0.41;0.48;2;139;3;0;3;0;technical;low;1
9907;GORDILLO;0.48;0.81;3;212;2;0;4;0;technical;low;1
3289;GANDY;0.96;0.67;5;170;3;0;0;0;marketing;high;3
4203;BATTS;0.57;0.68;3;102;6;0;1;0;technical;medium;2
6213;CONSTANTINE;0.9;0.8;4;240;3;0;0;0;hr;medium;2
11032;KILLOUGH;0.95;0.63;3;153;2;0;0;0;sales;low;1
7423;COSME;0.97;0.7;4;218;2;0;0;0;sales;high;3
5786;BIGHAM;0.55;0.97;3;222;2;0;3;0;management;medium;2
368;GRIFFITH;0.82;0.86;5;243;5;0;0;0;IT;low;1
3904;SPALDING;0.83;0.8;3;273;3;0;1;0;sales;low;1
8036;CORRADO;0.9;0.63;4;134;3;1;0;0;sales;medium;2
7324;BRUNDAGE;0.89;0.55;3;260;2;0;1;0;RandD;low;1
9724;HACKLER;0.69;0.73;4;233;2;0;1;0;accounting;low;1
2691;DENNEY;0.66;0.48;3;192;3;1;0;0;sales;low;1
9788;TASKER;0.86;0.7;4;197;3;0;0;0;sales;medium;2
12439;KILROY;0.41;0.52;2;136;3;0;3;0;technical;low;1
1987;HOPE;0.84;0.84;5;238;5;0;0;0;support;medium;2
6299;RUMSEY;0.83;0.72;3;259;2;0;1;0;technical;medium;2
9971;HAGA;0.49;0.74;2;154;3;0;3;0;support;medium;2
11508;PIXLEY;0.55;0.52;4;168;8;0;4;0;support;low;1
1689;COYLE;0.38;0.51;2;141;3;0;2;0;sales;low;1
12482;LAHEY;0.77;0.87;4;242;6;0;3;0;sales;low;1
5903;HAGLER;0.62;0.91;3;142;6;1;1;0;sales;medium;2
12158;LANIGAN;0.39;0.5;2;136;3;0;2;0;management;low;1
7501;SCHOCK;0.62;0.51;4;208;2;1;0;0;sales;low;1
14343;DAUB;0.9;1.0;5;221;5;0;1;0;support;low;1
974;RIDDLE;0.1;0.81;6;304;4;0;3;0;management;medium;2
3372;PARTRIDGE;0.97;0.52;4;231;3;0;0;0;sales;low;1
9510;BOAZ;0.94;0.77;3;201;3;0;1;0;support;low;1
10910;PRUDHOMME;0.51;0.5;4;130;3;0;1;0;RandD;medium;2
1475;ERWIN;0.44;0.47;2;156;3;1;0;0;sales;medium;2
246;HARVEY;0.37;0.48;2;159;3;0;2;0;sales;low;1
11341;PASCAL;0.77;0.91;4;239;3;1;0;0;product_mng;low;1
2066;STOVALL;0.81;0.99;5;143;3;0;0;0;marketing;medium;2
11463;SLOVER;0.8;0.7;4;246;3;0;0;1;marketing;low;1
749;RANGEL;0.86;0.84;4;246;6;0;1;0;IT;low;1
9414;MAUER;0.64;0.62;4;145;3;1;0;0;sales;low;1
3354;ABNEY;0.93;0.89;4;209;2;0;0;0;RandD;medium;2
13006;NAPOLEON;0.56;0.74;3;154;2;0;0;0;hr;medium;2
10189;COLLINGS;0.94;0.58;5;222;3;0;0;0;technical;low;1
14760;HEIDEMAN;0.41;0.47;2;138;3;0;2;0;sales;low;1
9464;DAMORE;0.52;0.99;4;253;3;0;3;0;marketing;medium;2
142;VASQUEZ;0.11;0.8;6;256;4;0;3;0;IT;low;1
6747;RODRIGUE;0.8;0.95;3;247;3;0;1;0;hr;medium;2
7751;ROLLE;0.23;0.88;5;201;3;0;4;0;technical;low;1
8287;TETER;0.85;0.55;4;158;5;0;0;0;technical;medium;2
11945;EDELEN;0.94;0.73;3;268;10;0;4;0;technical;medium;2
5003;DONNELL;0.49;0.93;4;184;3;0;3;0;technical;medium;2
1913;ALBRECHT;0.42;0.57;2;147;3;1;1;0;management;low;1
8014;WISER;0.88;1.0;5;190;2;0;1;0;sales;low;1
1945;BURROWS;0.73;0.93;5;162;4;0;1;0;technical;low;1
7524;OCEGUERA;0.92;0.84;3;220;3;1;0;0;technical;high;3
13838;PARVIN;0.97;0.64;4;238;10;1;3;0;product_mng;medium;2
2417;FOSS;0.48;0.49;4;242;2;1;0;0;support;medium;2
10414;GIBLIN;0.57;0.94;3;230;2;0;1;0;hr;low;1
6361;GAROFALO;0.66;0.62;5;214;2;0;1;0;sales;medium;2
14976;NICKSON;0.4;0.47;2;136;3;0;1;0;hr;medium;2
11612;MENDELSON;0.58;0.99;3;207;10;0;4;0;technical;low;1
14454;GAMMILL;0.4;0.5;2;128;3;0;2;0;sales;low;1
2189;BOUDREAUX;0.92;0.91;4;222;2;0;0;0;support;low;1
6335;ROEBUCK;0.8;0.81;5;143;2;0;0;0;sales;medium;2
14266;GALATI;0.37;0.46;2;140;3;0;3;0;support;low;1
11633;TICHENOR;0.77;0.89;4;269;10;0;4;0;management;high;3
10344;NICOLETTI;0.53;0.61;4;182;3;0;1;0;technical;low;1
8398;LAMBETH;0.58;0.84;4;150;4;1;1;0;sales;low;1
14114;MCDONAGH;0.96;0.62;4;253;7;0;2;0;sales;medium;2
3659;BARNHILL;0.35;0.7;3;107;3;0;1;0;RandD;high;3
2171;TITUS;0.64;0.6;3;143;3;0;0;0;technical;medium;2
13943;WEIRICH;0.24;0.94;6;141;3;1;1;0;sales;low;1
5510;SHRIVER;0.55;0.85;4;273;2;0;3;0;sales;medium;2
2135;STONER;0.64;0.77;3;213;3;1;0;0;RandD;medium;2
9368;ACKERSON;0.32;0.74;3;211;3;0;4;0;technical;low;1
866;MULLEN;0.41;0.46;2;128;3;0;1;0;accounting;low;1
3193;SAGER;0.49;0.58;5;186;2;0;0;0;IT;high;3
1006;MERRILL;0.4;0.47;2;151;3;0;1;0;sales;medium;2
13985;RABIN;0.64;0.6;3;265;4;0;2;0;sales;low;1
7747;BOWKER;0.83;0.84;4;146;3;0;1;0;technical;low;1
5445;LIGON;0.56;0.91;4;188;2;1;1;0;sales;low;1
12552;LADUE;0.82;0.85;5;248;5;0;1;0;sales;low;1
7190;CURETON;0.56;0.96;3;244;3;0;3;0;sales;medium;2
9505;GRILL;0.25;0.87;3;265;4;0;4;0;technical;low;1
4695;MICHELS;0.41;0.7;4;177;3;0;1;0;technical;medium;2
